name,Country_name,Species,Casecode,Resident,Migrant: breeding,Migrant: passage,Migrant: wintering,Comments,MD_1,MD_2,MD_3,MD_4,MD_5,MD_6,MD_7,MD_8,MD_9,MD_10,MD_11,MD_12,MD_13,MD_14,MD_15,MD_16,MD_17,MD_18,MD_19,MD_20,MD_21,MD_22,MD_23,MD_24,MD_25,MD_26,MD_27,MD_28,MD_29,MD_30,MD_31,MD_32,MD_33,MD_34,MD_35,MD_36,Comments_mig,RD_1,RD_2,RD_3,RD_4,RD_5,RD_6,RD_7,RD_8,RD_9,RD_10,RD_11,RD_12,RD_13,RD_14,RD_15,RD_16,RD_17,RD_18,RD_19,RD_20,RD_21,RD_22,RD_23,RD_24,RD_25,RD_26,RD_27,RD_28,RD_29,RD_30,RD_31,RD_32,RD_33,RD_34,RD_35,RD_36,Start,M_end,Comments_rep
Cygnus olor,AT,A036,ATA036,true,true,true,true,,false,false,false,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,overlap of breeding birds with wintering birds & non-breeders,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,Construction of nest,Full flight of young birds,
Anser fabalis,AT,A039,ATA039,false,false,true,true,few birds,false,false,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,few data,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Anser albifrons,AT,A041,ATA041,false,false,true,true,,false,false,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,difficult to identify due to the overlap with wintering birds,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Anser anser,AT,A043,ATA043,true,true,true,true,,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Overlap of breeding and wintering birds,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Number of decades counted (back) from egg-laying,Full flight of young birds,Overlap with migrating and non-breeding birds
Anas penelope,AT,A050,ATA050,false,false,true,true,,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,difficult to identify due to the overlap with wintering birds,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Anas strepera,AT,A051,ATA051,false,true,true,true,,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,no,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Occupation of breeding sites,Full flight of young birds,
Anas crecca,AT,A052,ATA052,false,true,true,true,,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,no,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,Occupation of breeding sites,Full flight of young birds,start: pair formation start in winter
Anas platyrhynchos,AT,A053,ATA053,true,true,true,true,,false,false,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Overlap with breeders and wintering birds,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,Construction of nest,Full flight of young birds,
Anas acuta,AT,A054,ATA054,false,true,true,true,few breeding pairs,false,false,false,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,no,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Occupation of breeding sites,Full flight of young birds,breeding: few; overlap with migrating birds
Anas querquedula,AT,A055,ATA055,false,true,true,false,,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,no,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Occupation of breeding sites,Full flight of young birds,
Anas clypeata,AT,A056,ATA056,false,true,true,true,wintering: few,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,no,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,Occupation of breeding sites,Full flight of young birds,
Netta rufina,AT,A058,ATA058,false,true,true,true,,false,false,false,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,no,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,Occupation of breeding sites,Full flight of young birds,
Aythya ferina,AT,A059,ATA059,false,true,true,true,,false,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,Occupation of breeding sites,Full flight of young birds,
Aythya fuligula,AT,A061,ATA061,false,true,true,true,,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,mixing with wintering birds,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,Occupation of breeding sites,Full flight of young birds,
Aythya marila,AT,A062,ATA062,false,false,true,true,migrant: few,false,false,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Bucephala clangula,AT,A067,ATA067,false,true,true,true,,false,false,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Occupation of breeding sites,Full flight of young birds,
Mergus serrator,AT,A069,ATA069,false,false,true,true,,false,false,false,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,mixing with wintering birds,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
